created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-02-16T18:39:20-06:00,132,11933.33301,4909433.00000,1.22074,-19.25000,,,,
2023-02-16T18:41:28-06:00,133,11400.00000,4911133.00000,1.27830,-19.25000,,,,
2023-02-16T18:43:36-06:00,134,11100.00000,4911516.50000,1.31295,-19.25000,,,,
2023-02-16T18:45:43-06:00,135,11466.66602,4910600.00000,1.27073,-19.25000,,,,
2023-02-16T18:47:51-06:00,136,11116.66602,4923616.50000,1.31421,-19.25000,,,,
2023-02-16T18:49:59-06:00,137,11650.00000,4912416.50000,1.25119,-19.25000,,,,
2023-02-16T18:52:07-06:00,138,11750.00000,4908266.50000,1.23950,-19.25000,,,,
2023-02-16T18:54:14-06:00,139,11616.66602,4916400.00000,1.25580,-19.50000,,,,
2023-02-16T18:56:22-06:00,140,11600.00000,4919100.00000,1.25830,-19.50000,,,,
2023-02-16T18:58:30-06:00,141,11650.00000,4910850.00000,1.25079,-19.50000,,,,
2023-02-16T19:00:38-06:00,142,11283.33301,4919416.50000,1.29369,-19.50000,,,,
2023-02-16T19:02:45-06:00,143,11283.33301,4920400.00000,1.29395,-19.50000,,,,
2023-02-16T19:04:53-06:00,144,11700.00000,4917233.00000,1.24707,-19.50000,,,,
2023-02-16T19:07:01-06:00,145,11066.66602,4920500.00000,1.31931,-19.50000,,,,
2023-02-16T19:09:08-06:00,146,11750.00000,4920366.50000,1.24255,-19.50000,,,,
2023-02-16T19:11:16-06:00,147,11616.66602,4930083.00000,1.25930,-19.50000,,,,
2023-02-16T19:13:24-06:00,148,11583.33301,4930150.00000,1.26294,-19.50000,,,,
2023-02-16T19:15:32-06:00,149,11600.00000,4930716.50000,1.26127,-19.50000,,,,
2023-02-16T19:17:39-06:00,150,11916.66602,4921266.50000,1.22540,-19.50000,,,,
2023-02-16T19:19:47-06:00,151,11466.66602,4928766.50000,1.27543,-19.25000,,,,
2023-02-16T19:21:55-06:00,152,11200.00000,4909183.00000,1.30061,-19.25000,,,,
2023-02-16T19:24:03-06:00,153,12016.66602,4909250.00000,1.21223,-19.25000,,,,
2023-02-16T19:26:10-06:00,154,11650.00000,4916583.00000,1.25225,-19.25000,,,,
2023-02-16T19:28:18-06:00,155,11283.33301,4909900.00000,1.29119,-19.50000,,,,
2023-02-16T19:30:26-06:00,156,11350.00000,4911533.00000,1.28403,-19.50000,,,,
