created_at,entry_id,period_low,period_high,ratio,temperature
2022-02-21T19:16:29-06:00,1064,2014,724336,2.44951,0
2022-02-21T19:16:45-06:00,1065,2090,740440,2.41292,0
2022-02-21T19:17:01-06:00,1066,2036,739556,2.47396,0
2022-02-21T19:17:17-06:00,1067,2012,687318,2.32664,0
2022-02-21T19:17:33-06:00,1068,2006,721618,2.45005,0
2022-02-21T19:17:49-06:00,1069,2008,735282,2.49396,0
2022-02-21T19:18:06-06:00,1070,2034,694558,2.32571,0
2022-02-21T19:18:22-06:00,1071,1998,739064,2.51933,0
2022-02-21T19:18:38-06:00,1072,1954,687894,2.39771,0
2022-02-21T19:18:54-06:00,1073,2008,744120,2.52394,0
2022-02-21T19:19:10-06:00,1074,2092,741614,2.41443,0
2022-02-21T19:19:26-06:00,1075,2092,738226,2.40340,0
2022-02-21T19:19:42-06:00,1076,2034,696198,2.33121,0
2022-02-21T19:19:59-06:00,1077,2098,722978,2.34703,0
2022-02-21T19:20:15-06:00,1078,2096,740762,2.40706,0
2022-02-21T19:20:31-06:00,1079,2092,695360,2.26385,0
2022-02-21T19:20:47-06:00,1080,2108,743600,2.40252,0
2022-02-21T19:21:03-06:00,1081,2094,744644,2.42198,0
2022-02-21T19:21:19-06:00,1082,1978,745898,2.56834,0
2022-02-21T19:21:36-06:00,1083,2006,714452,2.42572,0
2022-02-21T19:21:52-06:00,1084,2044,695544,2.31762,0
2022-02-21T19:22:08-06:00,1085,1972,708826,2.44811,0
2022-02-21T19:22:24-06:00,1086,2016,737582,2.49183,0
2022-02-21T19:22:40-06:00,1087,2006,688078,2.33618,0
2022-02-21T19:22:56-06:00,1088,1996,707232,2.41324,0
2022-02-21T19:23:13-06:00,1089,2094,707788,2.30211,0
2022-02-21T19:23:29-06:00,1090,2026,690720,2.32200,0
2022-02-21T19:23:45-06:00,1091,2010,729702,2.47257,0
2022-02-21T19:24:01-06:00,1092,2098,688140,2.23393,0
2022-02-21T19:24:17-06:00,1093,1968,742334,2.56905,0
2022-02-21T19:24:33-06:00,1094,1996,726132,2.47773,0
2022-02-21T19:24:49-06:00,1095,2010,687222,2.32863,0
2022-02-21T19:25:06-06:00,1096,2040,693956,2.31686,0
2022-02-21T19:25:22-06:00,1097,1976,687484,2.36960,0
2022-02-21T19:25:38-06:00,1098,2040,736032,2.45734,0
2022-02-21T19:25:54-06:00,1099,2062,687340,2.27029,0
2022-02-21T19:26:10-06:00,1100,2010,696594,2.36038,0
2022-02-21T19:26:27-06:00,1101,2008,712606,2.41704,0
2022-02-21T19:26:43-06:00,1102,2012,745328,2.52301,0
2022-02-21T19:26:59-06:00,1103,2082,692406,2.26506,0
2022-02-21T19:27:15-06:00,1104,2010,687726,2.33033,0
2022-02-21T19:27:31-06:00,1105,1992,736276,2.51739,0
2022-02-21T19:27:47-06:00,1106,2050,688436,2.28722,0
2022-02-21T19:28:03-06:00,1107,2004,734160,2.49512,0
2022-02-21T19:28:20-06:00,1108,2098,738840,2.39852,0
2022-02-21T19:28:36-06:00,1109,2102,687550,2.22777,0
2022-02-21T19:28:52-06:00,1110,2040,740826,2.47335,0
2022-02-21T19:29:08-06:00,1111,2014,701064,2.37081,0
2022-02-21T19:29:24-06:00,1112,2004,736732,2.50386,0
2022-02-21T19:29:40-06:00,1113,2012,691464,2.34067,0
2022-02-21T19:29:56-06:00,1114,2010,713304,2.41700,0
2022-02-21T19:30:13-06:00,1115,2042,742562,2.47671,0
2022-02-21T19:30:29-06:00,1116,2104,747680,2.42030,0
2022-02-21T19:30:45-06:00,1117,2100,726394,2.35587,0
2022-02-21T19:31:01-06:00,1118,2102,716962,2.32307,0
2022-02-21T19:31:17-06:00,1119,2006,729502,2.47682,0
2022-02-21T19:31:33-06:00,1120,2102,721902,2.33908,0
2022-02-21T19:31:50-06:00,1121,2116,745574,2.39979,0
2022-02-21T19:32:06-06:00,1122,2002,688910,2.34367,0
2022-02-21T19:32:22-06:00,1123,2038,741978,2.47962,0
2022-02-21T19:32:38-06:00,1124,2006,747362,2.53746,0
2022-02-21T19:32:54-06:00,1125,2014,687664,2.32550,0
2022-02-21T19:33:11-06:00,1126,2104,699538,2.26446,0
2022-02-21T19:33:27-06:00,1127,2008,740028,2.51006,0
2022-02-21T19:33:43-06:00,1128,2032,720396,2.41461,0
2022-02-21T19:33:59-06:00,1129,2108,688892,2.22577,0
2022-02-21T19:34:15-06:00,1130,2106,743156,2.40337,0
2022-02-21T19:34:31-06:00,1131,2102,736764,2.38723,0
2022-02-21T19:34:48-06:00,1132,2106,745974,2.41248,0
2022-02-21T19:35:04-06:00,1133,2056,748090,2.47816,0
2022-02-21T19:35:20-06:00,1134,2106,711034,2.29949,0
2022-02-21T19:35:36-06:00,1135,2004,732618,2.48988,0
2022-02-21T19:35:52-06:00,1136,2056,689350,2.28358,0
2022-02-21T19:36:08-06:00,1137,1982,738484,2.53768,0
2022-02-21T19:36:25-06:00,1138,2046,711758,2.36933,0
2022-02-21T19:36:41-06:00,1139,2106,746002,2.41257,0
2022-02-21T19:36:57-06:00,1140,2042,712448,2.37627,0
2022-02-21T19:37:13-06:00,1141,2065,748268,2.46795,0
2022-02-21T19:37:29-06:00,1142,2010,748722,2.53702,0
2022-02-21T19:37:45-06:00,1143,2018,724992,2.44687,0
2022-02-21T19:38:01-06:00,1144,2048,698316,2.32231,0
2022-02-21T19:38:18-06:00,1145,2040,689572,2.30223,0
2022-02-21T19:38:34-06:00,1146,2116,746300,2.40213,0
2022-02-21T19:38:50-06:00,1147,2022,700022,2.35792,0
2022-02-21T19:39:06-06:00,1148,2014,713162,2.41172,0
2022-02-21T19:39:22-06:00,1149,2110,739450,2.38685,0
2022-02-21T19:39:38-06:00,1150,2030,746260,2.50376,0
2022-02-21T19:39:55-06:00,1151,2044,695248,2.31664,0
2022-02-21T19:40:11-06:00,1152,2060,725406,2.39835,0
2022-02-21T19:40:27-06:00,1153,2112,709446,2.28783,0
2022-02-21T19:40:43-06:00,1154,2014,727682,2.46083,0
2022-02-21T19:40:59-06:00,1155,1998,710240,2.42108,0
2022-02-21T19:41:15-06:00,1156,2034,708738,2.37320,0
2022-02-21T19:41:32-06:00,1157,2050,694776,2.30829,0
2022-02-21T19:41:48-06:00,1158,2112,742414,2.39415,0
